Disease,Synonyms,icd10_regex,Loss of Consciousness,Agitation,Weight Loss,Fever,Chest Pain,Cough,Orthopnea,Dyspnea on exercise,Cyanosis,Clubbing,JVD,Peripheral Edema,Stridor,Wheezing,Crackles,Diminished Breath Sounds,Rhonchi,Hyperinflation,S3 or Gallop,Cardiac Murmur,Accentuated S2,Muffled Heart Sounds,Tachycardia or High Pulse
Acute heart failure,acute decompensated heart failure; ADHF,^I50\d*$,0,1,-1,-1,0,1,0,1,1,-1,1,1,0,0,0,0,0,0,1,0,0,0,0
Acute myocardial ischemia,acute coronary syndrome; myocardial ischemia,^(I20\d*|I24\d*|I21\d*)$,0,1,-1,0,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Alveolitis,hypersensitivity pneumonitis; extrinsic allergic alveolitis,^J67\d*$,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0
Amyotrophic lateral sclerosis,ALS; Lou Gehrig disease,^G122\d*$,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Anaphylaxis,anaphylactic shock; anaphylactic reaction,^T782\d*$,0,1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Anemia,anaemia,^(D50\d*|D51\d*|D52\d*|D53\d*|D55\d*|D56\d*|D57\d*|D58\d*|D59\d*|D60\d*|D61\d*|D62\d*|D63\d*|D64\d*)$,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Angioedema,angio-oedema; angioneurotic edema,^T783\d*$,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Anxiety,anxiety disorder,^F41\d*$,1,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ascites,abdominal ascites,^R18\d*$,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Aspiration,foreign body aspiration; aspiration pneumonitis,^(T17\d*|J69\d*)$,-1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0
Asthma attack,acute asthma exacerbation; status asthmaticus,^J45\d*$,-1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Atelectasis,lung collapse; pulmonary atelectasis,^J981\d*$,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0
Bradyarrhythmia,bradycardia; sick sinus syndrome,^(I495\d*|R001)$,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bronchial asthma,asthma,^J45\d*$,-1,1,0,-1,0,1,-1,-1,1,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Bronchiectasis,bronchiectasis,^J47\d*$,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,1,0,1,0,0,0,0,0,0
Bronchiolitis,acute bronchiolitis,^J21\d*$,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0
Bronchiolitis obliterans,obliterative bronchiolitis,^J448\d*$,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Bronchitis,acute bronchitis; chronic bronchitis,^(J20\d*|J40)$,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0
Bronchospasm,bronchial spasm,^J9801\d*$,0,1,-1,-1,1,0,-1,-1,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Carbon monoxide poisoning,CO poisoning,^T58\d*$,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Churg-1Strauss syndrome,eosinophilic granulomatosis with polyangiitis; EGPA,^M301\d*$,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Constrictive pericarditis,pericardial constriction,^I311$,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0
COPD,chronic obstructive pulmonary disease,^J44\d*$,-1,-1,0,-1,-1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
COPD exacerbation,AECOPD; acute exacerbation of chronic obstructive pulmonary disease,^J441\d*$,-1,1,-1,1,1,1,1,-1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Coronary heart disease,coronary artery disease; ischemic heart disease,^I25\d*$,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Croup,laryngotracheobronchitis,^J050\d*$,-1,1,-1,0,-1,1,-1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0
Cystic fibrosis,CF,^E84\d*$,-1,-1,1,1,-1,0,-1,-1,1,1,-1,-1,0,1,1,0,1,0,0,0,0,0,0
Depression,major depressive disorder,^(F32\d*|F33\d*)$,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Diabetic ketoacidosis,DKA,^(E10(1\d*)|E11(1\d*)|E13(1\d*))$,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0
Emphysema,pulmonary emphysema,^J43\d*$,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1,0,0,0,1,0,0,0,0,0
Encephalitis,brain inflammation; viral encephalitis,^(G04\d*|A86\d*)$,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Epiglottitis,supraglottitis,^J051\d*$,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0
